2021-05-20 00:01:17,456 | DEBUG | Save config: None
2021-05-20 00:01:17,566 | DEBUG | Init SlideManager
2021-05-20 00:01:17,567 | DEBUG | Slide: ./data/1.jpg
2021-05-20 00:01:17,585 | DEBUG | added valid video/image file
2021-05-20 00:01:17,585 | DEBUG | Slide: ./data/2.jpg
2021-05-20 00:01:17,586 | DEBUG | added valid video/image file
2021-05-20 00:01:17,586 | DEBUG | Slide: ./data/1.mp4
2021-05-20 00:04:57,036 | DEBUG | Init CLI
2021-05-20 00:04:57,079 | DEBUG | Load from file: f.json
2021-05-20 00:06:25,087 | DEBUG | Init CLI
2021-05-20 00:06:25,095 | DEBUG | Load from file: f.json
2021-05-20 00:06:35,434 | DEBUG | Init CLI
2021-05-20 00:06:35,442 | DEBUG | Load from file: f.json
2021-05-20 00:08:25,788 | DEBUG | Init CLI
2021-05-20 00:08:25,863 | DEBUG | Load from file: f.json
2021-05-20 08:42:27,357 | DEBUG | Init CLI
2021-05-20 08:42:27,425 | DEBUG | Load from file: f.json
2021-05-20 08:43:37,775 | DEBUG | Init CLI
2021-05-20 08:43:37,788 | DEBUG | Load from file: f.json
2021-05-20 08:43:49,028 | DEBUG | Init CLI
2021-05-20 08:43:49,036 | DEBUG | Load Files from command line: ['./data/1.jpg', './data/2.jpg', './data/1.mp4', './data/3.jpg']
2021-05-20 08:43:49,036 | DEBUG | Save config: None
2021-05-20 08:43:50,685 | DEBUG | Init SlideManager
2021-05-20 08:43:50,685 | DEBUG | Slide: ./data/1.jpg
2021-05-20 08:43:50,790 | DEBUG | added valid video/image file
2021-05-20 08:43:50,790 | DEBUG | Slide: ./data/2.jpg
2021-05-20 08:43:50,815 | DEBUG | added valid video/image file
2021-05-20 08:43:50,816 | DEBUG | Slide: ./data/1.mp4
2021-05-20 08:48:04,795 | DEBUG | Init CLI
2021-05-20 08:48:04,837 | DEBUG | Load Files from command line: ['./data/1.jpg', './data/2.jpg', './data/1.mp4', './data/3.jpg']
2021-05-20 08:48:04,837 | DEBUG | Save config: None
2021-05-20 08:48:05,927 | DEBUG | Init SlideManager
2021-05-20 08:48:05,958 | DEBUG | Slide: ./data/1.jpg
2021-05-20 08:48:06,080 | DEBUG | added valid video/image file
2021-05-20 08:48:06,080 | DEBUG | Slide: ./data/2.jpg
2021-05-20 08:48:06,081 | DEBUG | added valid video/image file
2021-05-20 08:48:06,081 | DEBUG | Slide: ./data/1.mp4
2021-05-20 08:50:00,439 | DEBUG | Init CLI
2021-05-20 08:50:00,464 | DEBUG | Load Files from command line: ['./data/1.jpg', './data/2.jpg', './data/1.mp4', './data/3.jpg']
2021-05-20 08:50:00,465 | DEBUG | Save config: None
2021-05-20 08:50:00,580 | DEBUG | Init SlideManager
2021-05-20 08:50:00,580 | DEBUG | Slide: ./data/1.jpg
2021-05-20 08:50:00,595 | DEBUG | added valid video/image file
2021-05-20 08:50:00,595 | DEBUG | Slide: ./data/2.jpg
2021-05-20 08:50:00,596 | DEBUG | added valid video/image file
